time_ms,raw,filtered
2.059200000000000000e+04,-1.155011000000000000e+06,-1.153052250000000000e+06
2.060300000000000000e+04,-1.149399000000000000e+06,-1.152686879999999888e+06
2.061500000000000000e+04,-1.154994000000000000e+06,-1.152917620000000112e+06
2.062600000000000000e+04,-1.155577000000000000e+06,-1.153183500000000000e+06
2.063700000000000000e+04,-1.150095000000000000e+06,-1.152874620000000112e+06
2.064900000000000000e+04,-1.154417000000000000e+06,-1.153028879999999888e+06
2.066000000000000000e+04,-1.156273000000000000e+06,-1.153353250000000000e+06
2.067100000000000000e+04,-1.150568000000000000e+06,-1.153074620000000112e+06
2.068200000000000000e+04,-1.153617000000000000e+06,-1.153128879999999888e+06
2.069400000000000000e+04,-1.156935000000000000e+06,-1.153509500000000000e+06
2.070500000000000000e+04,-1.150841000000000000e+06,-1.153242620000000112e+06
2.071600000000000000e+04,-1.152642000000000000e+06,-1.153182500000000000e+06
2.072800000000000000e+04,-1.156917000000000000e+06,-1.153556000000000000e+06
2.073900000000000000e+04,-1.151438000000000000e+06,-1.153344120000000112e+06
2.075000000000000000e+04,-1.152259000000000000e+06,-1.153235620000000112e+06
2.076200000000000000e+04,-1.157306000000000000e+06,-1.153642620000000112e+06
2.077300000000000000e+04,-1.152111000000000000e+06,-1.153489379999999888e+06
2.078400000000000000e+04,-1.151623000000000000e+06,-1.153302750000000000e+06
2.079600000000000000e+04,-1.157633000000000000e+06,-1.153735750000000000e+06
2.080700000000000000e+04,-1.153496000000000000e+06,-1.153711750000000000e+06
2.081800000000000000e+04,-1.151295000000000000e+06,-1.153470000000000000e+06
2.082900000000000000e+04,-1.157303000000000000e+06,-1.153853250000000000e+06
2.084100000000000000e+04,-1.154443000000000000e+06,-1.153912120000000112e+06
2.085200000000000000e+04,-1.151761000000000000e+06,-1.153697000000000000e+06
2.086300000000000000e+04,-1.157619000000000000e+06,-1.154089120000000112e+06
2.087500000000000000e+04,-1.154908000000000000e+06,-1.154171000000000000e+06
2.088600000000000000e+04,-1.150039000000000000e+06,-1.153757750000000000e+06
2.089700000000000000e+04,-1.155747000000000000e+06,-1.153956620000000112e+06
2.090900000000000000e+04,-1.155359000000000000e+06,-1.154096879999999888e+06
